GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	direction	logFC_ave	power	TF
ZBTB49	-0.5089153763410206	7.181356340953562	-4.9532064947948315	1.6083708867357965e-5	0.00521355539212891	2.969384070475341	T3d	-1	-0.5089153763410206	0.9645781620249267	0
GBE1	-0.5811697228349741	5.317769085439918	-4.949883877756612	1.6249884634968045e-5	0.0052501512514722005	2.959963282627653	T3d	-1	-0.5458661696091001	0.9757642029541634	0
NEFH	-0.7033315844080201	8.04534504563899	-4.947995277226637	1.6345097338225378e-5	0.0052714433335964515	2.9546088485844635	T3d	-1	-0.6790185061560402	0.9996743743256278	0
NF1	0.5763067849243431	9.050131162648675	4.941915845184456	1.665535767814621e-5	0.005322495474151978	2.937374892801886	T3d	1	0.5763067849243431	0.9967954559972102	0
TRAF7	-0.5497620431687995	8.068513823691253	-4.941246943284787	1.668984901375009e-5	0.005322495474151978	2.935478883046759	T3d	-1	-0.5497620431687995	0.9876109466924899	0
C3ORF33	-0.5787362804077079	7.007055552865141	-4.93831227015769	1.68420110460572e-5	0.005354842212933594	2.9271609706198216	T3d	-1	-0.5787362804077079	0.9215186573467343	0
GLB1L2	-0.5665653828041908	10.210081137130839	-4.938242985407535	1.6845619999689615e-5	0.005354842212933594	2.926964601764274	T3d	-1	-0.5874988981428793	0.9999999717615312	0
TMCO3	-0.5487378893259347	8.817698093313085	-4.935832597173115	1.6971652119761105e-5	0.005374955656288208	2.9201332652420433	T3d	-1	-0.583078908800883	1	0
BDH1	-0.5027151037259152	9.465750138375252	-4.932222950068324	1.7162138845718833e-5	0.005411812755631441	2.909904015371925	T3d	-1	-0.5027151037259152	0.9632810046107088	0
PSMA4	-0.6030256249205603	9.659208123371238	-4.930736539672257	1.7241193307505626e-5	0.005428056456575781	2.9056920568903077	T3d	-1	-0.6030256249205603	0.9562595223420581	0
GLIPR1	-1.3626337399835275	5.048576366204847	-4.929794023817723	1.729150761443962e-5	0.0054351346836223596	2.903021401212664	T3d	-1	-1.3626337399835275	0.9996692993486453	0
ASRGL1	-0.7478164313318381	7.738390967376484	-4.926336819944646	1.7477311832735515e-5	0.005473180399156339	2.893225938752199	T3d	-1	-0.6960808364491857	NA	0
